Problem,AvgValue_Buffer1,AvgTime_Buffer1,AvgValue_Buffer2,AvgTime_Buffer2,AvgValue_Buffer5,AvgTime_Buffer5
0,1506.2,1.4000000000000001e-8,1390.2,1.4000000000000001e-8,1430.0,1.3300000000000002e-8
1,1376.5,1.4099999999999997e-8,1439.5,1.37e-8,1333.5,1.4699999999999998e-8
2,5021.0,8.0e-10,5021.0,6.0e-10,5021.0,9.0e-10
3,9491.0,1.6e-9,9491.0,2.0999999999999998e-9,9491.0,2.3000000000000003e-9
4,12111.0,2.2000000000000003e-9,12111.0,3.4e-9,12111.0,2.6000000000000005e-9
5,14023.0,3.700000000000001e-9,14023.0,3.9e-9,14023.0,3.5000000000000003e-9
6,13487.2,4.6e-9,13361.5,4.700000000000001e-9,13611.2,5.1e-9
7,11606.4,5.7e-9,12274.2,6.2e-9,11098.8,5.9e-9
8,18129.1,1.2099999999999999e-8,17823.4,1.2699999999999998e-8,18203.3,1.3400000000000001e-8
9,22941.8,2.3100000000000002e-8,22213.1,2.1199999999999998e-8,24001.3,2.4500000000000004e-8
