,Model,Equation_Type,Equation,Score
0,model_1,best,x5*x5*(-0.9815448) - 3.1631243,2.031153672860529
1,model_1,3,(x5 * x5) * -1.1931673,2.031153672860529
2,model_1,4,(x5 * (x5 * -0.9815448)) + -3.1631243,0.5600188437285241
3,model_1,2,cos(x5) + -10.987484,0.07370440249363319
4,model_2,best,-(x5*x5 + sin(x1 - (-x0 + sin(x1) - 0.23303504))) - 2.8626473,3.1426673941324834
5,model_2,3,-3.0128696 - (x5 * x5),3.1426673941324834
6,model_2,10,-2.8626473 - (sin(x1 - ((-0.23303504 - x0) + sin(x1))) + (x5 * x5)),0.37269936809557186
7,model_2,2,cos(x5) + -10.98749,0.07208358516176595
8,model_3,best,-x5*x5 - 3.0127757,3.2011091058828343
9,model_3,3,-3.0127757 - (x5 * x5),3.2011091058828343
10,model_3,10,(-1.97442 - (1.4982696 ^ sin(x0))) + (((x4 * 0.031968687) - x5) * x5),0.019401169977395206
11,model_3,2,-11.157398 - sin(x0),0.013641918374573507
12,model_1_noisy,best,x5*x5*(-0.9883664) + sin(x0 + x1 + x1) - 3.037272,2.018257983637648
13,model_1_noisy,3,(x5 * x5) * -1.1879803,2.018257983637648
14,model_1_noisy,9,((x5 * (x5 * -0.9883664)) + -3.037272) + sin(x1 + (x0 + x1)),0.9741827294192861
15,model_1_noisy,4,(x5 * (x5 * -0.9798245)) + -3.1116529,0.5147546710134651
16,model_2_noisy,best,-(x5*x5 - 1*(-2.942667)) + cos(x0 + x1 + x1 - 1.5363272),3.038596254894669
17,model_2_noisy,3,-2.947322 - (x5 * x5),3.038596254894669
18,model_2_noisy,7,cos(((x1 + x1) + x0) + -1.5363272) - ((x5 * x5) - -2.942667),0.32228337495657444
19,model_2_noisy,2,cos(x5) + -10.921934,0.0691907408081398
20,model_3_noisy,best,-x5*x5 - 2.9473786,3.0967020941479197
21,model_3_noisy,3,-2.9473786 - (x5 * x5),3.0967020941479197
22,model_3_noisy,8,((((0.23391443 ^ x0) * -0.0015028159) - (x5 * x5)) * 0.96839726) - 3.030093,0.017688311822327465
23,model_3_noisy,6,(x5 * ((x5 * -0.97839206) + (x4 * 0.036650695))) - 3.1302588,0.014852296449311506
