,Model,Equation_Type,Equation,Score
0,model_1,best,x5*x5*(-0.9820344) + sin(x0 + x1 + x1) - 3.201714,2.031153524904559
1,model_2,best,-x5*x5 - 3.0127914,3.1426672592430203
2,model_3,best,-x5*x5 - 3.0128005,3.201109097534992
3,model_1_noisy,best,x5*x5*(-0.979824) - 3.1116567,2.0182580857510994
4,model_2_noisy,best,-x5*x5 - 2.947308,3.038596173958591
5,model_3_noisy,best,-x5*x5 - 2.947306,3.0966971295693346
6,model_1_wide_range,best,x5*(-0.9992922)*x5 - 3.028511,3.2730258320316787
7,model_2_wide_range,best,-x5*x5 - 2.9767973,3.827114566310035
8,model_3_wide_range,best,-x5*x5 + sin(x0 + x1 + x1) - 2.9871151,3.8271144933647845
9,model_1_noisy_std_dev_2,best,x5*x5*(-0.9985266) - 2.8225937,3.0744106712461954
10,model_2_noisy_std_dev_2,best,-x5*x5 - 2.7146783,3.321948036988888
11,model_3_noisy_std_dev_2,best,-x5*x5 - 2.7146783,3.321948036988888
12,model_1_noisy_std_dev_5,best,x5*x5*(-1.0226563),2.5148301644820483
13,model_2_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034402220244
14,model_3_noisy_std_dev_5,best,-x5*x5 - 2.8206573,2.5679034402220244
