,Model,Equation_Type,Equation,Score
0,model_1,best,(x5*x5 + 3.1199038)*(-0.9900283) + cos(x0 + x1 + x1 - 1.5520582),2.0311535840869444
1,model_1,3,x5 * (x5 * -1.1931313),2.0311535840869444
2,model_1,4,((x5 * x5) * -0.9815453) + -3.163114,0.5600188881153163
3,model_1,10,cos(x1 + (x0 + (x1 + -1.5520582))) + (((x5 * x5) + 3.1199038) * -0.9900283),0.5487071410208981
4,model_2,best,-x5*x5 - 3.0129306,3.1426673941324834
5,model_2,3,-3.0129306 - (x5 * x5),3.1426673941324834
6,model_2,2,cos(x5) + -10.987488,0.07208358516176597
7,model_2,8,cos(cos(x1 + cos(x0))) + (-3.8053768 - (x5 * x5)),0.06303117906098613
8,model_3,best,-x5*x5 - 3.0142558,3.201108018419796
9,model_3,3,-3.0142558 - (x5 * x5),3.201108018419796
10,model_3,10,((x5 * x5) * -0.97893745) + (-3.816306 - sin(-1.0071386 - sin(x0 * -1.0348505))),0.01597861465835704
11,model_3,2,-11.1574 - sin(x0),0.013641881759257372
12,model_1_noisy,best,x5*x5*(-0.9798251) - 3.1116428,2.018257983637648
13,model_1_noisy,3,(x5 * -1.1879656) * x5,2.018257983637648
14,model_1_noisy,4,((x5 * x5) * -0.9798251) + -3.1116428,0.5147546710134651
15,model_1_noisy,2,cos(x5) + -10.9218025,0.07493420723380696
16,model_2_noisy,best,-x5*x5 - 2.9473078,3.038596173958591
17,model_2_noisy,3,-2.9473078 - (x5 * x5),3.038596173958591
18,model_2_noisy,9,"(safe_pow(x5 * x5, 1.0510213) * -0.82659906) + (sin(exp(x5 + 3.0565894)) + -3.642883)",0.08635650414530156
19,model_2_noisy,2,cos(x5) + -10.922012,0.0691907408081398
20,model_3_noisy,best,-x5*x5 - 2.9474645,3.096697331909541
21,model_3_noisy,3,-2.9474645 - (x5 * x5),3.096697331909541
22,model_3_noisy,6,(x5 * ((x4 * 0.036646537) + (x5 * -0.97839344))) + -3.1303284,0.01485223482711585
23,model_3_noisy,2,-11.0919695 - sin(x0),0.011089785197396347
24,model_1_wide_range,best,x5*x5*(-0.9992923) - 3.0284927,3.273025759780836
25,model_1_wide_range,2,x5 * (x5 * -1.0218015),3.273025759780836
26,model_1_wide_range,3,(x5 * (x5 * -0.9992923)) + -3.0284927,0.5546360494253079
27,model_1_wide_range,7,(sin(x0 * -1.4146291) + (((x5 * x5) * 1.6774113) + 5.1155124)) * -0.5956648,0.037770838745499476
28,model_2_wide_range,best,-x5*x5 + sin(x0 + x1*1.9949355 - 0.02534592) - 1*2.9842763,3.827114568835388
29,model_2_wide_range,2,-2.9764934 - (x5 * x5),3.827114568835388
30,model_2_wide_range,8,(sin((x1 * 1.9949355) + (x0 + -0.02534592)) - 2.9842763) - (x5 * x5),0.9695743706510276
31,model_2_wide_range,7,(sin((sin(x1) * -2.7745197) + x0) - 2.9173124) - (x5 * x5),0.22345224930909682
32,model_3_wide_range,best,-x5*x5 - 2.9766607,3.8271146149402084
33,model_3_wide_range,2,-2.9766607 - (x5 * x5),3.8271146149402084
