,Model,Equation_Type,Equation,Score
0,model_1f,best,x5*x5*(-0.9719317) + sympy_p(sympy_p(cos(x0*0.34489843))) - 5.610484,1.314799328321828
1,model_1f,3,(x5 * x5) * -1.2424467,1.314799328321828
2,model_1f,4,(x5 * (x5 * -0.98038584)) + -3.9175878,0.30002565080742194
3,model_1f,10,((x5 * x5) * -0.9719317) + (p(p(cos(x0 * 0.34489843))) + -5.610484),0.21253841590565908
4,model_2f,best,x0*x0*(-0.37088263) - x5*x5,1.6283174946742023
5,model_2f,3,-3.7577968 - (x5 * x5),1.6283174946742023
6,model_2f,6,((x0 * x0) * -0.37088263) - (x5 * x5),0.7134995375762494
7,model_2f,5,(x0 - p(x0)) - (x5 * x5),0.41955244764544886
8,model_3f,best,-0.3236481*x0*x0 - x5*x5 - 0.73067176,1.6283174946742023
9,model_3f,3,-3.7579765 - (x5 * x5),1.6283174946742023
10,model_3f,7,(-0.73067176 - (x5 * x5)) - ((x0 * x0) * 0.3236481),0.47889235618625
11,model_3f,5,(x0 - (x5 * x5)) - p(x0),0.41955244764544886
12,model_1f_noisy,best,(x5*x5*(-0.45215756) + cos(x0*0.6027875) - 1.7497363)*2.1622398,1.3218097501287265
13,model_1f_noisy,3,(x5 * -1.2372673) * x5,1.3218097501287265
14,model_1f_noisy,4,((x5 * x5) + 3.9503582) * -0.9786689,0.29315073885538784
15,model_1f_noisy,9,((x5 * (x5 * -0.45215756)) + (cos(x0 * 0.6027875) + -1.7497363)) * 2.1622398,0.2280798276529962
16,model_2f_noisy,best,-(x0*x0*0.32014713 + x5*x5) - 0.69793606,1.6155581329269388
17,model_2f_noisy,3,-3.6923122 - (x5 * x5),1.6155581329269388
18,model_2f_noisy,7,-0.69793606 - ((x5 * x5) + ((x0 * x0) * 0.32014713)),0.7498096519990741
19,model_2f_noisy,2,-9.454115 - p(x5),0.3500481757589145
20,model_3f_noisy,best,x0 - (x5*x5 - 1*(-0.97957855)) - sympy_p(x0*1.0708553),1.6155581329269388
21,model_3f_noisy,3,-3.6923122 - (x5 * x5),1.6155581329269388
22,model_3f_noisy,5,(x0 - p(x0)) - (x5 * x5),0.42477503064843075
23,model_3f_noisy,2,-9.453041 - p(x5),0.3500481757589145
